Linux 4.15.0-117-generic (sl1-21) 	Friday 29 January 2021 	_x86_64_	(4 CPU)

06:52:38  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:52:43  IST  all    0.05    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.90
06:52:48  IST  all    0.00    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00   99.95
06:52:53  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
06:52:58  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:53:03  IST  all    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.90
06:53:08  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
06:53:13  IST  all   31.45    0.00    3.08    0.00    0.00    0.05    0.00    0.00    0.00   65.43
06:53:18  IST  all   59.43    0.00    5.12    0.05    0.00    0.00    0.00    0.00    0.00   35.40
06:53:23  IST  all   59.09    0.00    5.42    0.05    0.00    0.00    0.00    0.00    0.00   35.44
06:53:28  IST  all   58.95    0.00    5.22    0.05    0.00    0.00    0.00    0.00    0.00   35.78
06:53:33  IST  all   59.21    0.00    5.32    0.05    0.00    0.00    0.00    0.00    0.00   35.42
06:53:38  IST  all   59.61    0.00    5.27    0.05    0.00    0.00    0.00    0.00    0.00   35.07
06:53:43  IST  all   59.42    0.00    5.37    0.05    0.00    0.00    0.00    0.00    0.00   35.16
06:53:48  IST  all   59.64    0.00    5.32    0.00    0.00    0.00    0.00    0.00    0.00   35.04
06:53:53  IST  all   59.26    0.00    4.93    0.05    0.00    0.00    0.00    0.00    0.00   35.76
06:53:58  IST  all   59.93    0.00    4.53    0.05    0.00    0.00    0.00    0.00    0.00   35.49
06:54:03  IST  all   58.85    0.00    5.32    0.05    0.00    0.05    0.00    0.00    0.00   35.73
