Linux 4.15.0-117-generic (sl1-21) 	Friday 29 January 2021 	_x86_64_	(4 CPU)

12:18:28  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:18:33  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:18:38  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:18:43  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
12:18:48  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
12:18:53  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:18:58  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
12:19:03  IST  all    8.12    0.00    0.45    0.00    0.00    0.05    0.00    0.00    0.00   91.38
12:19:08  IST  all   93.85    0.00    5.75    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:19:13  IST  all   94.30    0.00    5.60    0.00    0.00    0.10    0.00    0.00    0.00    0.00
12:19:18  IST  all   94.90    0.00    5.05    0.00    0.00    0.05    0.00    0.00    0.00    0.00
12:19:23  IST  all   94.15    0.00    5.30    0.00    0.00    0.55    0.00    0.00    0.00    0.00
12:19:28  IST  all   94.25    0.00    5.60    0.00    0.00    0.15    0.00    0.00    0.00    0.00
12:19:33  IST  all   94.65    0.00    5.25    0.00    0.00    0.10    0.00    0.00    0.00    0.00
12:19:38  IST  all   95.45    0.00    4.35    0.00    0.00    0.20    0.00    0.00    0.00    0.00
12:19:43  IST  all   95.30    0.00    4.50    0.00    0.00    0.20    0.00    0.00    0.00    0.00
12:19:48  IST  all   94.80    0.00    5.10    0.00    0.00    0.10    0.00    0.00    0.00    0.00
12:19:53  IST  all   94.85    0.00    4.75    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:19:58  IST  all   95.00    0.00    4.90    0.00    0.00    0.10    0.00    0.00    0.00    0.00
12:20:03  IST  all   94.15    0.00    5.75    0.00    0.00    0.10    0.00    0.00    0.00    0.00
12:20:08  IST  all   94.90    0.00    4.80    0.00    0.00    0.30    0.00    0.00    0.00    0.00
12:20:13  IST  all   95.65    0.00    4.30    0.00    0.00    0.05    0.00    0.00    0.00    0.00
12:20:18  IST  all   95.00    0.00    4.95    0.00    0.00    0.05    0.00    0.00    0.00    0.00
12:20:23  IST  all   95.45    0.00    4.40    0.00    0.00    0.15    0.00    0.00    0.00    0.00
12:20:28  IST  all   95.00    0.00    4.70    0.00    0.00    0.30    0.00    0.00    0.00    0.00
12:20:33  IST  all   95.55    0.00    4.40    0.00    0.00    0.05    0.00    0.00    0.00    0.00
12:20:38  IST  all   95.10    0.00    4.70    0.00    0.00    0.20    0.00    0.00    0.00    0.00
12:20:43  IST  all   95.45    0.00    4.30    0.00    0.00    0.25    0.00    0.00    0.00    0.00
12:20:48  IST  all   95.10    0.00    4.80    0.00    0.00    0.10    0.00    0.00    0.00    0.00
12:20:53  IST  all   95.30    0.00    4.60    0.00    0.00    0.10    0.00    0.00    0.00    0.00
12:20:58  IST  all   95.70    0.00    4.05    0.00    0.00    0.25    0.00    0.00    0.00    0.00
12:21:03  IST  all   95.40    0.00    4.40    0.00    0.00    0.20    0.00    0.00    0.00    0.00
12:21:08  IST  all   94.65    0.00    5.25    0.00    0.00    0.10    0.00    0.00    0.00    0.00
12:21:13  IST  all   95.40    0.00    4.25    0.00    0.00    0.35    0.00    0.00    0.00    0.00
12:21:18  IST  all   95.75    0.00    4.20    0.00    0.00    0.05    0.00    0.00    0.00    0.00
12:21:23  IST  all   95.75    0.00    4.20    0.00    0.00    0.05    0.00    0.00    0.00    0.00
12:21:28  IST  all   95.15    0.00    4.80    0.00    0.00    0.05    0.00    0.00    0.00    0.00
12:21:33  IST  all   95.70    0.00    4.05    0.00    0.00    0.25    0.00    0.00    0.00    0.00
12:21:38  IST  all   95.45    0.00    4.40    0.00    0.00    0.15    0.00    0.00    0.00    0.00
12:21:43  IST  all   95.30    0.00    4.60    0.00    0.00    0.10    0.00    0.00    0.00    0.00
