Linux 4.15.0-117-generic (sl1-21) 	Friday 29 January 2021 	_x86_64_	(4 CPU)

07:06:52  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:06:57  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
07:07:02  IST  all    0.05    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.90
07:07:07  IST  all    0.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.95
07:07:12  IST  all   25.75    0.00    2.20    0.00    0.00    0.40    0.00    0.00    0.00   71.65
07:07:17  IST  all   93.40    0.00    5.60    0.00    0.00    1.00    0.00    0.00    0.00    0.00
07:07:22  IST  all   94.55    0.00    4.60    0.00    0.00    0.85    0.00    0.00    0.00    0.00
07:07:27  IST  all   95.10    0.00    4.30    0.00    0.00    0.60    0.00    0.00    0.00    0.00
07:07:32  IST  all   94.65    0.00    4.25    0.00    0.00    1.10    0.00    0.00    0.00    0.00
07:07:37  IST  all   94.20    0.00    4.45    0.00    0.00    1.35    0.00    0.00    0.00    0.00
07:07:42  IST  all   94.50    0.00    4.30    0.00    0.00    1.20    0.00    0.00    0.00    0.00
07:07:47  IST  all   94.10    0.00    4.40    0.00    0.00    1.50    0.00    0.00    0.00    0.00
07:07:52  IST  all   94.35    0.00    4.50    0.00    0.00    1.15    0.00    0.00    0.00    0.00
07:07:57  IST  all   94.90    0.00    4.15    0.00    0.00    0.95    0.00    0.00    0.00    0.00
07:08:02  IST  all   94.55    0.00    4.55    0.00    0.00    0.90    0.00    0.00    0.00    0.00
07:08:07  IST  all   94.75    0.00    4.30    0.00    0.00    0.95    0.00    0.00    0.00    0.00
07:08:12  IST  all   94.60    0.00    4.55    0.00    0.00    0.85    0.00    0.00    0.00    0.00
07:08:17  IST  all   94.55    0.00    4.30    0.00    0.00    1.15    0.00    0.00    0.00    0.00
07:08:22  IST  all   94.25    0.00    4.60    0.00    0.00    1.15    0.00    0.00    0.00    0.00
07:08:27  IST  all   94.95    0.00    4.25    0.00    0.00    0.80    0.00    0.00    0.00    0.00
07:08:32  IST  all   94.85    0.00    4.55    0.00    0.00    0.60    0.00    0.00    0.00    0.00
07:08:37  IST  all   95.30    0.00    4.00    0.00    0.00    0.70    0.00    0.00    0.00    0.00
07:08:42  IST  all   94.90    0.00    4.35    0.00    0.00    0.75    0.00    0.00    0.00    0.00
07:08:47  IST  all   94.60    0.00    4.65    0.00    0.00    0.75    0.00    0.00    0.00    0.00
07:08:52  IST  all   94.95    0.00    4.15    0.00    0.00    0.90    0.00    0.00    0.00    0.00
07:08:57  IST  all   95.20    0.00    4.20    0.00    0.00    0.60    0.00    0.00    0.00    0.00
07:09:02  IST  all   95.00    0.00    4.35    0.00    0.00    0.65    0.00    0.00    0.00    0.00
07:09:07  IST  all   94.85    0.00    4.50    0.00    0.00    0.65    0.00    0.00    0.00    0.00
07:09:12  IST  all   94.70    0.00    4.65    0.00    0.00    0.65    0.00    0.00    0.00    0.00
07:09:17  IST  all   95.00    0.00    4.45    0.00    0.00    0.55    0.00    0.00    0.00    0.00
07:09:22  IST  all   94.75    0.00    4.60    0.00    0.00    0.65    0.00    0.00    0.00    0.00
07:09:27  IST  all   95.25    0.00    4.20    0.00    0.00    0.55    0.00    0.00    0.00    0.00
07:09:32  IST  all   94.10    0.00    5.30    0.00    0.00    0.60    0.00    0.00    0.00    0.00
07:09:37  IST  all   94.90    0.00    4.75    0.00    0.00    0.35    0.00    0.00    0.00    0.00
07:09:42  IST  all   95.50    0.00    4.15    0.00    0.00    0.35    0.00    0.00    0.00    0.00
07:09:47  IST  all   95.00    0.00    4.55    0.00    0.00    0.45    0.00    0.00    0.00    0.00
07:09:52  IST  all   95.05    0.00    4.55    0.00    0.00    0.40    0.00    0.00    0.00    0.00
07:09:57  IST  all   95.35    0.00    4.15    0.00    0.00    0.50    0.00    0.00    0.00    0.00
07:10:02  IST  all   93.50    0.00    6.20    0.00    0.00    0.30    0.00    0.00    0.00    0.00
07:10:07  IST  all   95.15    0.00    4.55    0.00    0.00    0.30    0.00    0.00    0.00    0.00
07:10:12  IST  all   95.15    0.00    4.55    0.00    0.00    0.30    0.00    0.00    0.00    0.00
07:10:17  IST  all   94.95    0.00    4.65    0.00    0.00    0.40    0.00    0.00    0.00    0.00
07:10:22  IST  all   95.50    0.00    4.15    0.00    0.00    0.35    0.00    0.00    0.00    0.00
07:10:27  IST  all   95.50    0.00    4.30    0.00    0.00    0.20    0.00    0.00    0.00    0.00
07:10:32  IST  all   94.95    0.00    4.75    0.00    0.00    0.30    0.00    0.00    0.00    0.00
07:10:37  IST  all   95.85    0.00    4.00    0.00    0.00    0.15    0.00    0.00    0.00    0.00
07:10:42  IST  all   94.95    0.00    4.65    0.00    0.00    0.40    0.00    0.00    0.00    0.00
07:10:47  IST  all   95.70    0.00    4.05    0.00    0.00    0.25    0.00    0.00    0.00    0.00
07:10:52  IST  all   95.30    0.00    4.30    0.00    0.00    0.40    0.00    0.00    0.00    0.00
07:10:57  IST  all   94.80    0.00    4.80    0.00    0.00    0.40    0.00    0.00    0.00    0.00
07:11:02  IST  all   95.45    0.00    4.15    0.00    0.00    0.40    0.00    0.00    0.00    0.00
07:11:07  IST  all   95.80    0.00    3.90    0.00    0.00    0.30    0.00    0.00    0.00    0.00
07:11:12  IST  all   95.35    0.00    4.45    0.00    0.00    0.20    0.00    0.00    0.00    0.00
07:11:17  IST  all   95.90    0.00    3.85    0.00    0.00    0.25    0.00    0.00    0.00    0.00
07:11:22  IST  all   95.15    0.00    4.45    0.00    0.00    0.40    0.00    0.00    0.00    0.00
07:11:27  IST  all   95.70    0.00    4.05    0.00    0.00    0.25    0.00    0.00    0.00    0.00
07:11:32  IST  all   95.60    0.00    4.25    0.00    0.00    0.15    0.00    0.00    0.00    0.00
07:11:37  IST  all   95.40    0.00    4.45    0.00    0.00    0.15    0.00    0.00    0.00    0.00
07:11:42  IST  all   94.80    0.00    4.95    0.00    0.00    0.25    0.00    0.00    0.00    0.00
07:11:47  IST  all   95.40    0.00    4.45    0.00    0.00    0.15    0.00    0.00    0.00    0.00
07:11:52  IST  all   95.20    0.00    4.70    0.00    0.00    0.10    0.00    0.00    0.00    0.00
07:11:57  IST  all   95.35    0.00    4.45    0.00    0.00    0.20    0.00    0.00    0.00    0.00
07:12:02  IST  all   95.30    0.00    4.55    0.00    0.00    0.15    0.00    0.00    0.00    0.00
07:12:07  IST  all   95.55    0.00    4.35    0.00    0.00    0.10    0.00    0.00    0.00    0.00
07:12:12  IST  all   95.30    0.00    4.40    0.00    0.00    0.30    0.00    0.00    0.00    0.00
07:12:17  IST  all   94.95    0.00    4.60    0.00    0.00    0.45    0.00    0.00    0.00    0.00
07:12:22  IST  all   94.60    0.00    5.05    0.00    0.00    0.35    0.00    0.00    0.00    0.00
07:12:27  IST  all   95.60    0.00    4.20    0.00    0.00    0.20    0.00    0.00    0.00    0.00
07:12:32  IST  all   95.20    0.00    4.70    0.00    0.00    0.10    0.00    0.00    0.00    0.00
07:12:37  IST  all   95.30    0.00    4.50    0.00    0.00    0.20    0.00    0.00    0.00    0.00
07:12:42  IST  all   56.08    0.00    2.10    0.00    0.00    0.05    0.00    0.00    0.00   41.76
07:12:47  IST  all   38.98    0.00    2.15    0.00    0.00    0.05    0.00    0.00    0.00   58.82
07:12:52  IST  all   14.51    0.00    0.75    0.00    0.00    0.05    0.00    0.00    0.00   84.68
07:12:57  IST  all    6.41    0.00    0.30    0.00    0.00    0.00    0.00    0.00    0.00   93.29
07:13:02  IST  all    0.10    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.75
07:13:07  IST  all    0.05    0.00    1.38    0.00    0.00    0.00    0.00    0.00    0.00   98.57
07:13:12  IST  all    0.05    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.70
07:13:17  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:13:22  IST  all    0.10    0.00    0.10    0.05    0.00    0.00    0.00    0.00    0.00   99.75
07:13:27  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:13:32  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
07:13:37  IST  all    0.15    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.80
07:13:42  IST  all    0.05    0.00    0.05    0.05    0.00    0.00    0.00    0.00    0.00   99.85
07:13:47  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
07:13:52  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:13:57  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
07:14:02  IST  all    0.10    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.85
07:14:07  IST  all    0.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.95
07:14:12  IST  all    0.05    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.90
07:14:17  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:14:22  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95

Average:     all   70.20    0.00    3.34    0.00    0.00    0.39    0.00    0.00    0.00   26.07
