Linux 4.15.0-117-generic (sl1-21) 	Friday 29 January 2021 	_x86_64_	(4 CPU)

06:59:35  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:59:40  IST  all    0.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.80
06:59:45  IST  all    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90
06:59:50  IST  all    0.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.95
06:59:55  IST  all   10.27    0.00    0.65    0.00    0.00    0.05    0.00    0.00    0.00   89.03
07:00:00  IST  all   73.03    0.00    3.91    0.00    0.00    0.15    0.00    0.00    0.00   22.91
07:00:05  IST  all   74.51    0.00    4.57    0.00    0.00    0.15    0.00    0.00    0.00   20.77
07:00:10  IST  all   73.13    0.00    3.82    0.00    0.00    0.10    0.00    0.00    0.00   22.95
07:00:15  IST  all   73.27    0.00    3.57    0.05    0.00    0.15    0.00    0.00    0.00   22.96
07:00:20  IST  all   72.87    0.00    4.25    0.00    0.00    0.15    0.00    0.00    0.00   22.72
07:00:25  IST  all   71.78    0.00    4.91    0.00    0.00    0.15    0.00    0.00    0.00   23.16
07:00:30  IST  all   72.38    0.00    4.21    0.05    0.00    0.10    0.00    0.00    0.00   23.26
07:00:35  IST  all   72.59    0.00    4.22    0.00    0.00    0.05    0.00    0.00    0.00   23.14
07:00:40  IST  all   72.58    0.00    4.51    0.00    0.00    0.10    0.00    0.00    0.00   22.81
07:00:45  IST  all   73.30    0.00    4.26    0.00    0.00    0.10    0.00    0.00    0.00   22.34
07:00:50  IST  all   73.43    0.00    3.81    0.05    0.00    0.05    0.00    0.00    0.00   22.66
07:00:55  IST  all   72.32    0.00    4.46    0.00    0.00    0.70    0.00    0.00    0.00   22.52
07:01:00  IST  all   73.08    0.00    3.96    0.00    0.00    0.85    0.00    0.00    0.00   22.11
07:01:05  IST  all   73.04    0.00    3.95    0.00    0.00    0.45    0.00    0.00    0.00   22.56
07:01:10  IST  all   72.89    0.00    4.14    0.05    0.00    0.45    0.00    0.00    0.00   22.47
07:01:15  IST  all   72.77    0.00    4.36    0.00    0.00    0.10    0.00    0.00    0.00   22.77
07:01:20  IST  all   72.63    0.00    4.41    0.00    0.00    0.00    0.00    0.00    0.00   22.96
07:01:25  IST  all   72.44    0.00    4.32    0.00    0.00    0.10    0.00    0.00    0.00   23.14
07:01:30  IST  all   72.43    0.00    4.27    0.05    0.00    0.00    0.00    0.00    0.00   23.25
