Linux 4.15.0-117-generic (sl1-21) 	Friday 29 January 2021 	_x86_64_	(4 CPU)

12:00:12  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:00:17  IST  all    0.10    0.00    0.05    0.10    0.00    0.00    0.00    0.00    0.00   99.75
12:00:22  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:00:27  IST  all   17.63    0.00    1.13    0.00    0.00    2.21    0.00    0.00    0.00   79.03
12:00:32  IST  all   41.50    0.00    2.44    0.04    0.00   12.25    0.00    0.00    0.00   43.76
12:00:37  IST  all   40.66    0.00    2.03    0.04    0.00   14.40    0.00    0.00    0.00   42.86
12:00:42  IST  all   40.73    0.00    2.08    0.00    0.00   14.16    0.00    0.00    0.00   43.03
12:00:47  IST  all   42.47    0.00    2.51    0.05    0.00    9.63    0.00    0.00    0.00   45.34
12:00:52  IST  all   41.73    0.00    2.13    0.04    0.00   12.04    0.00    0.00    0.00   44.04
12:00:57  IST  all   41.74    0.00    2.28    0.04    0.00   11.61    0.00    0.00    0.00   44.33
12:01:02  IST  all   43.29    0.00    2.06    0.05    0.00    9.39    0.00    0.00    0.00   45.21
12:01:07  IST  all   42.69    0.00    2.17    0.00    0.00   10.50    0.00    0.00    0.00   44.64
12:01:12  IST  all   42.56    0.00    2.03    0.05    0.00   10.78    0.00    0.00    0.00   44.59
12:01:17  IST  all   41.27    0.00    2.03    0.04    0.00   12.64    0.00    0.00    0.00   44.01
12:01:22  IST  all   41.57    0.00    1.90    0.04    0.00   12.47    0.00    0.00    0.00   44.01
12:01:27  IST  all   43.14    0.00    2.37    0.05    0.00    9.71    0.00    0.00    0.00   44.73
12:01:32  IST  all   42.91    0.00    2.62    0.05    0.00    8.56    0.00    0.00    0.00   45.86
12:01:37  IST  all   43.22    0.00    2.48    0.05    0.00    9.01    0.00    0.00    0.00   45.24
12:01:42  IST  all   41.16    0.00    2.07    0.00    0.00   12.83    0.00    0.00    0.00   43.94
12:01:47  IST  all   40.99    0.00    1.83    0.04    0.00   13.65    0.00    0.00    0.00   43.48
12:01:52  IST  all   41.48    0.00    2.16    0.04    0.00   12.71    0.00    0.00    0.00   43.60
12:01:57  IST  all   42.47    0.00    1.88    0.00    0.00   11.58    0.00    0.00    0.00   44.08
12:02:02  IST  all   42.97    0.00    2.08    0.00    0.00   10.62    0.00    0.00    0.00   44.33
12:02:07  IST  all   44.64    0.00    1.82    0.05    0.00    7.65    0.00    0.00    0.00   45.85
12:02:12  IST  all   41.78    0.00    1.64    0.00    0.00   12.64    0.00    0.00    0.00   43.94
12:02:17  IST  all   42.71    0.00    1.76    0.05    0.00   10.65    0.00    0.00    0.00   44.83
12:02:22  IST  all   43.83    0.00    1.84    0.05    0.00    9.27    0.00    0.00    0.00   45.02
12:02:27  IST  all   42.74    0.00    1.61    0.00    0.00   11.75    0.00    0.00    0.00   43.90
12:02:32  IST  all   42.49    0.00    1.65    0.04    0.00   11.58    0.00    0.00    0.00   44.23
12:02:37  IST  all   42.46    0.00    1.94    0.05    0.00   10.69    0.00    0.00    0.00   44.86
12:02:42  IST  all   42.38    0.00    2.11    0.04    0.00   10.89    0.00    0.00    0.00   44.58
12:02:47  IST  all   43.46    0.00    1.78    0.05    0.00    9.60    0.00    0.00    0.00   45.11
12:02:52  IST  all   42.46    0.00    1.80    0.05    0.00   10.99    0.00    0.00    0.00   44.71
12:02:57  IST  all   42.99    0.00    1.49    0.05    0.00   10.83    0.00    0.00    0.00   44.65
12:03:02  IST  all   42.10    0.00    1.96    0.04    0.00   11.65    0.00    0.00    0.00   44.24
12:03:07  IST  all   43.60    0.00    1.60    0.05    0.00    9.31    0.00    0.00    0.00   45.44
12:03:12  IST  all   42.58    0.00    1.79    0.04    0.00   11.22    0.00    0.00    0.00   44.37
12:03:17  IST  all   42.77    0.00    2.03    0.05    0.00   10.62    0.00    0.00    0.00   44.53
12:03:22  IST  all   43.68    0.00    1.65    0.05    0.00    9.14    0.00    0.00    0.00   45.48
12:03:27  IST  all   41.66    0.00    1.90    0.04    0.00   12.44    0.00    0.00    0.00   43.96
12:03:32  IST  all   43.49    0.00    1.78    0.00    0.00    9.68    0.00    0.00    0.00   45.04
12:03:37  IST  all   40.61    0.00    1.95    0.04    0.00   14.19    0.00    0.00    0.00   43.21
12:03:42  IST  all   40.60    0.00    1.76    0.04    0.00   14.97    0.00    0.00    0.00   42.62
12:03:47  IST  all   43.61    0.00    2.13    0.05    0.00    8.43    0.00    0.00    0.00   45.79
12:03:52  IST  all   42.66    0.00    1.59    0.05    0.00   10.69    0.00    0.00    0.00   45.02
12:03:57  IST  all   42.04    0.00    1.87    0.00    0.00   12.22    0.00    0.00    0.00   43.87
12:04:02  IST  all   43.03    0.00    2.00    0.05    0.00   10.31    0.00    0.00    0.00   44.62
12:04:07  IST  all   44.65    0.00    2.03    0.00    0.00    6.78    0.00    0.00    0.00   46.54
12:04:12  IST  all   43.61    0.00    1.81    0.00    0.00   10.61    0.00    0.00    0.00   43.97
12:04:17  IST  all   43.02    0.00    1.63    0.00    0.00   10.29    0.00    0.00    0.00   45.06
12:04:22  IST  all   42.29    0.00    1.93    0.09    0.00   11.10    0.00    0.00    0.00   44.58
12:04:27  IST  all   43.63    0.00    1.64    0.05    0.00    9.50    0.00    0.00    0.00   45.18
12:04:32  IST  all   43.04    0.00    1.59    0.05    0.00   10.24    0.00    0.00    0.00   45.08
12:04:37  IST  all   44.19    0.00    1.61    0.00    0.00    8.99    0.00    0.00    0.00   45.20
12:04:42  IST  all   42.09    0.00    1.45    0.00    0.00   12.65    0.00    0.00    0.00   43.81
12:04:47  IST  all   43.57    0.00    1.40    0.05    0.00   10.61    0.00    0.00    0.00   44.38
12:04:52  IST  all   43.52    0.00    1.45    0.05    0.00   10.35    0.00    0.00    0.00   44.65
12:04:57  IST  all   42.33    0.00    1.88    0.04    0.00   11.28    0.00    0.00    0.00   44.47
12:05:02  IST  all   42.97    0.00    1.84    0.04    0.00   10.79    0.00    0.00    0.00   44.36
12:05:07  IST  all   44.07    0.00    2.11    0.05    0.00    8.59    0.00    0.00    0.00   45.17
12:05:12  IST  all   43.16    0.00    1.81    0.05    0.00    9.97    0.00    0.00    0.00   45.01
12:05:17  IST  all   43.46    0.00    1.92    0.05    0.00    9.32    0.00    0.00    0.00   45.25
12:05:22  IST  all   44.45    0.00    2.37    0.00    0.00    7.80    0.00    0.00    0.00   45.38
12:05:27  IST  all   26.98    0.00    1.82    0.05    0.00    6.73    0.00    0.00    0.00   64.42
12:05:32  IST  all    0.00    0.00    0.94    0.00    0.00    0.00    0.00    0.00    0.00   99.06
12:05:37  IST  all    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90
12:05:42  IST  all    0.05    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00   99.90
12:05:47  IST  all    0.05    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.90
12:05:52  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:05:57  IST  all    0.05    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.90
12:06:02  IST  all    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.90
12:06:07  IST  all    0.00    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   99.60

Average:     all   36.61    0.00    1.68    0.03    0.00    9.29    0.00    0.00    0.00   52.40
