Linux 4.15.0-117-generic (sl1-21) 	Thursday 28 January 2021 	_x86_64_	(4 CPU)

11:47:37  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:52:42  IST  all   32.60    0.00    2.10    0.05    0.00    7.08    0.00    0.00    0.00   58.17
11:52:47  IST  all   32.42    0.00    2.47    0.05    0.00    7.04    0.00    0.00    0.00   58.02
11:52:52  IST  all   31.66    0.00    2.65    0.05    0.00    7.50    0.00    0.00    0.00   58.15
11:52:57  IST  all   32.24    0.00    2.53    0.00    0.00    6.79    0.00    0.00    0.00   58.45
11:53:02  IST  all   32.31    0.00    2.43    0.05    0.00    7.14    0.00    0.00    0.00   58.08
11:53:07  IST  all   32.40    0.00    2.19    0.05    0.00    7.26    0.00    0.00    0.00   58.10
11:53:12  IST  all   33.08    0.00    2.16    0.05    0.00    6.29    0.00    0.00    0.00   58.42
11:53:17  IST  all   34.11    0.00    1.89    0.05    0.00    5.44    0.00    0.00    0.00   58.51
11:53:22  IST  all   34.10    0.00    1.59    0.05    0.00    5.95    0.00    0.00    0.00   58.31
11:53:27  IST  all    5.53    0.00    0.15    0.05    0.00    1.33    0.00    0.00    0.00   92.93
11:53:32  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:53:37  IST  all    0.00    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.90
11:53:42  IST  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:53:47  IST  all    0.05    0.00    0.05    0.05    0.00    0.00    0.00    0.00    0.00   99.85
11:53:52  IST  all    0.05    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.90
11:53:57  IST  all    0.00    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.85
11:54:02  IST  all    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.90
11:54:07  IST  all    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.95
11:54:12  IST  all    0.10    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.85
11:54:17  IST  all    0.05    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.90
11:54:22  IST  all    0.05    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   99.90
